Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	NODE_17_length_99531_cov_88.530078	39750	40649	-	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTX	300	300	100.00	100.00	300	BAB89353.1	CDF family cation-efflux transporter FieF	NA	NA
NA	NODE_1_length_570184_cov_63.198559	340217	342310	+	mchF	microcin H47 export transporter peptidase/ATP-binding subunit MchF	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	698	698	100.00	100.00	698	AAL08400.1	microcin H47 export transporter peptidase/ATP-binding subunit MchF	NA	NA
NA	NODE_1_length_570184_cov_63.198559	416872	418671	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	99.83	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
NA	NODE_1_length_570184_cov_63.198559	418661	420460	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	99.83	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
NA	NODE_24_length_80961_cov_79.949361	15401	15817	+	fosA	FosA5 family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	139	139	100.00	100.00	139	WP_004146118.1	FosA5 family fosfomycin resistance glutathione transferase	NA	NA
NA	NODE_28_length_62658_cov_71.012683	3916	5088	+	oqxA3	multidrug efflux RND transporter periplasmic adaptor subunit OqxA3	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	ALLELEX	391	391	100.00	100.00	391	WP_004890321.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA3	NA	NA
NA	NODE_28_length_62658_cov_71.012683	5115	8264	+	oqxB19	multidrug efflux RND transporter permease subunit OqxB19	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	ALLELEX	1050	1050	100.00	100.00	1050	WP_004149399.1	multidrug efflux RND transporter permease subunit OqxB19	NA	NA
NA	NODE_2_length_537100_cov_54.927293	108499	109356	+	blaSHV	SHV family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	286	286	100.00	99.65	286	WP_023325206.1	broad-spectrum class A beta-lactamase SHV-33	NA	NA
NA	NODE_33_length_53561_cov_77.686876	8597	9007	-	crcB	fluoride efflux transporter CrcB	plus	STRESS	BIOCIDE	FLUORIDE	FLUORIDE	EXACTX	137	137	100.00	100.00	137	CCN31428.1	fluoride efflux transporter CrcB	NA	NA
NA	NODE_35_length_45259_cov_70.455601	8764	9111	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTX	116	116	100.00	100.00	116	AET17094.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
